phase,R,V,H,Uc,L,Lr,Lc
0,1.0889976617439487,-7.398630319510602e-13,0.9609811043740343,0.9515029846517642,0.9990015421000559,0.8247908211576358,0.17421072094242007
0.001953125,1.0889930989143284,-0.001892776832209634,0.9610048580241147,0.9512716038439116,0.9989988446747163,0.824909348090726,0.17408949658399034
0.00390625,1.0889794068278502,-0.0037858545334073677,0.9610341800585246,0.9510449675987009,0.9989955333737541,0.8250129359807986,0.17398259739295557
0.005859375,1.0889565839384527,-0.005679128563145599,0.9610690790308852,0.950823112936861,0.9989916391604861,0.8251016175109698,0.17389002164951634
0.0078125,1.08892463054511,-0.0075724938781585645,0.9611095607695054,0.950606074676187,0.9989871856148225,0.8251754177892454,0.17381176782557706
0.009765625,1.0888835471206,-0.009465845286036698,0.961155630854647,0.9503938874414666,0.9989821981983675,0.8252343603636559,0.1737478378347116
0.01171875,1.0888333341377012,-0.011359077594415066,0.9612072948665723,0.9501865858574823,0.9989767051521712,0.825278467783836,0.17369823736833528
0.013671875,1.0887739920691917,-0.013252085610928733,0.9612645583855445,0.9499842045490158,0.9989707374995527,0.8253077615941168,0.17366297590543595
0.015625,1.0887055213881378,-0.015144764145078963,0.9613274269913166,0.9497867781401889,0.9989643290488149,0.8253222623254348,0.17364206672338012
0.017578125,1.0886279232374005,-0.017037007948700278,0.9613959052707594,0.9495943404343634,0.9989575126858502,0.8253219870787413,0.17363552560710893
0.01953125,1.0885412008582638,-0.018928710557163587,0.9614699947446483,0.9494069228319477,0.9989503128198861,0.8253069446479256,0.17364336817196047
0.021484375,1.088445357901704,-0.020819765067510713,0.9615496963437814,0.9492245562968609,0.9989427545521068,0.825277141442672,0.17366561310943485
0.0234375,1.088340398018697,-0.022710064576783484,0.9616350109989569,0.9490472717930214,0.9989348658231617,0.825232582860195,0.17370228296296672
0.025390625,1.0882263248602222,-0.024599502181979177,0.9617259396409704,0.9488751002843527,0.9989266774288557,0.8251732732854635,0.17375340414339208
0.02734375,1.0881031420772493,-0.026487970980228717,0.9618224832006244,0.9487080727347654,0.9989182230380432,0.8250992160917515,0.17381900694629174
0.029296875,1.0879708536604993,-0.028375363946650266,0.9619246421144293,0.9485462197051272,0.9989095373925269,0.8250104124774346,0.1738991249150923
0.03125,1.087829465704751,-0.03026157222390541,0.962032413758976,0.9483895694509368,0.9989006469918488,0.8249068554364819,0.17399379155536687
0.033203125,1.0876789851084623,-0.032146485895959295,0.9621457943424884,0.9482381494106409,0.9988915770592947,0.8247885342323253,0.17410304282696928
0.03515625,1.0875194187716748,-0.03402999504076685,0.9622647800708957,0.9480919870217714,0.998882355787454,0.8246554371509582,0.1742269186364957
0.037109375,1.0873507735944181,-0.03591198973641622,0.962389367150135,0.947951109721851,0.9988730143749597,0.8245075515136391,0.1743654628613206
0.0390625,1.0871730564767328,-0.03779236006086229,0.962519551786136,0.9478155449484117,0.9988635870576043,0.8243448636845939,0.17451872337301036
0.041015625,1.0869862744588672,-0.03967099601375587,0.9626553299842344,0.9476853199768712,0.9988541104138156,0.8241673586210086,0.17468675179280688
0.04296875,1.086790436447716,-0.04154778542752201,0.9627966950322658,0.947560460134286,0.9988446142740672,0.8239750139679993,0.1748696003060679
0.044921875,1.0865855526749724,-0.04342261408341781,0.9629436382679564,0.947440989460685,0.998835124550838,0.8237678018170965,0.17506732273374148
0.046875,1.086371633400386,-0.04529536769521516,0.9630961509867463,0.9473269319733328,0.9988256701983816,0.8235456932793148,0.17527997691906683
0.048828125,1.086148688883702,-0.04716593197673015,0.9632542244840792,0.9472183116894911,0.9988162834082299,0.8233086586043025,0.17550762480392745
0.05078125,1.0859167293846648,-0.049034192641778905,0.963417850055398,0.9471151526264209,0.9988069996537933,0.8230566671951975,0.17575033245859573
0.052734375,1.0856757652017601,-0.05090003538323285,0.9635870189424073,0.9470174787562721,0.9987978575462397,0.822789687508139,0.17600817003810082
0.0546875,1.085425808102584,-0.05276334379349679,0.9637617202344974,0.9469253125912628,0.9987888912855877,0.8225076821187792,0.17628120916680848
0.056640625,1.0851668717357486,-0.054623998110425696,0.9639419402072025,0.9468386749020739,0.9987801282589148,0.8222106060033371,0.1765695222555778
0.05859375,1.084898969872358,-0.056481878293862336,0.9641276649476045,0.9467575863574121,0.9987715986563768,0.8218984129396275,0.1768731857167492
0.060546875,1.0846221162835155,-0.0583368643036495,0.9643188805427853,0.9466820676259846,0.9987633362197079,0.8215710560060804,0.1771922802136275
0.0625,1.0843363247403321,-0.06018883609958633,0.9645155730798217,0.9466121393765,0.9987553783006355,0.8212284876039785,0.17752689069665706
