phase,R,V,H,Uc,L,Lr,Lc
0,1.2277459996511697,-1.3253937877766298e-14,3.6379801189539256,1.7092905113747494,0.9673406167304608,0,0.9673406167304608
0.001953125,1.2277342010009067,-0.0014486551636243958,3.6426466466019285,1.7110149789787883,0.9703459586838938,0,0.9703459586838938
0.00390625,1.2276989414688777,-0.002884711292546036,3.6468627821403183,1.7126497102320637,0.9733534781413581,0,0.9733534781413581
0.005859375,1.2276404263989025,-0.004308127958498841,3.650628249261585,1.71419458231727,0.976362079050644,0,0.976362079050644
0.0078125,1.2275588616146325,-0.0057188687891962416,3.653942918595099,1.7156494862373075,0.9793706558924091,0,0.9793706558924091
0.009765625,1.2274544536017766,-0.007116903812307539,3.656806894439753,1.7170143352201446,0.9823781067654922,0,0.9823781067654922
0.01171875,1.2273274092048025,-0.008502207231115853,3.6592204348928723,1.7182890573183802,0.9853833225943222,0,0.9853833225943222
0.013671875,1.2271779357052577,-0.00987475920983797,3.6611840189081533,1.7194736020835704,0.9883851980324893,0,0.9883851980324893
0.015625,1.227006240629477,-0.011234544467552643,3.6626982956777474,1.7205679358971546,0.9913826246815561,0,0.9913826246815561
0.017578125,1.22681253173056,-0.012581553045967146,3.663764114254788,1.721572045076941,0.9943744965850909,0,0.9943744965850909
0.01953125,1.2265970168720792,-0.01391578002764912,3.664382514529489,1.7224859353002313,0.9973597100664628,0,0.9973597100664628
0.021484375,1.2263599039678603,-0.015237225129149096,3.664554712549237,1.7233096302783288,1.0003371619206842,0,1.0003371619206842
0.0234375,1.2261014008776505,-0.016545893553825203,3.664282134454421,1.724043175605085,1.0033057569240338,0,1.0033057569240338
0.025390625,1.2258217153707522,-0.017841794540463862,3.66356636154761,1.7246866332064894,1.0062643985849309,0,1.0062643985849309
0.02734375,1.2255210549744997,-0.019124943084171106,3.662409197802804,1.7252400888401955,1.0092120034336174,0,1.0092120034336174
0.029296875,1.2251996270065684,-0.02039535783590062,3.6608125892487546,1.7257036436663382,1.01214748631747,0,1.01214748631747
0.03125,1.2248576383539773,-0.021653063180118157,3.6587787057706174,1.7260774234900846,1.0150697783390192,0,1.0150697783390192
0.033203125,1.2244952955678838,-0.022898087081442642,3.6563098577068764,1.72636156982899,1.0179778108529967,0,1.0179778108529967
0.03515625,1.2241128046109504,-0.02413046288680367,3.6534085673287984,1.7265562482289287,1.0208705321348912,0,1.0208705321348912
0.037109375,1.2237103709507366,-0.025350227713009283,3.6500775060817796,1.7266616414708178,1.023746895153824,0,1.023746895153824
0.0390625,1.223288199357154,-0.026557423483813795,3.646319536172547,1.7266779546384576,1.0266058683020391,0,1.0266058683020391
0.041015625,1.2228464939053718,-0.027752096215099765,3.642137682987992,1.7266054122997134,1.0294464308324058,0,1.0294464308324058
0.04296875,1.222385457911073,-0.028934296067465438,3.6375351376018568,1.7264442590337905,1.0322675746937178,0,1.0322675746937178
0.044921875,1.2219052937655055,-0.030104077614246758,3.632515268288408,1.7261947613017459,1.0350683095077304,0,1.0350683095077304
0.046875,1.221406203068851,-0.03126149895072697,3.627081585099091,1.7258572032951147,1.0378476547556195,0,1.0378476547556195
0.048828125,1.220888386262112,-0.03240662278595917,3.621237784563793,1.7254318930472132,1.0406046538281783,0,1.0406046538281783
0.05078125,1.2203520429627919,-0.03353951487671537,3.6149876867324426,1.724919154630529,1.0433383582742757,0,1.0433383582742757
0.052734375,1.2197973714274946,-0.03466024557754603,3.6083352986396737,1.724319336909373,1.0460478479002786,0,1.0460478479002786
0.0546875,1.219224569013516,-0.03576888804788438,3.601284741750282,1.7236328042196363,1.048732211374434,0,1.048732211374434
0.056640625,1.2186338315913512,-0.03686551975939918,3.593840313963429,1.7228599452071862,1.0513905669781045,0,1.0513905669781045
0.05859375,1.2180253539816446,-0.03795022097571593,3.586006427818523,1.7220011646955378,1.0540220454832865,0,1.0540220454832865
0.060546875,1.2173993294836738,-0.039023075777589615,3.5777876529751738,1.7210568900584853,1.056625805751127,0,1.056625805751127
0.0625,1.2167559501247505,-0.040084171157982074,3.56918867944076,1.7200275664318707,1.0592010249797035,0,1.0592010249797035
0.064453125,1.2160954064494869,-0.041133597338780956,3.560214330957445,1.7189136590077922,1.0617469051171238,0,1.0617469051171238
0.06640625,1.2154178874650905,-0.04217144759310053,3.550869558185444,1.717715652611404,1.064262673251344,0,1.064262673251344
0.068359375,1.2147235807741286,-0.04319781784719909,3.5411594224052667,1.7164340494769836,1.066747577335113,0,1.066747577335113
0.0703125,1.2140126721731144,-0.0442128071437457,3.5310891154223465,1.715069373062909,1.0692008968922948,0,1.0692008968922948
0.072265625,1.2132853461267081,-0.04521651669773018,3.520663920293039,1.713622161982578,1.071621929190801,0,1.071621929190801
0.07421875,1.2125417850715376,-0.04620905076382847,3.509889248351774,1.712092976864889,1.0740100077871826,0,1.0740100077871826
0.076171875,1.2117821701263058,-0.04719051544034195,3.498770589048749,1.7104823921227525,1.0763644829264207,0,1.0763644829264207
0.078125,1.2110066802603303,-0.048161019610493086,3.487313550386752,1.7087910037639025,1.078684742944593,0,1.078684742944593
0.080078125,1.2102154930346896,-0.04912067383341301,3.4755238121116774,1.7070194213493208,1.0809701947089803,0,1.0809701947089803
0.08203125,1.2094087838688936,-0.05006959104869064,3.4634071563585067,1.70516827437308,1.0832202817434744,0,1.0832202817434744
0.083984375,1.2085867265790127,-0.05100788580503054,3.4509694350095668,1.7032382065524279,1.0854344704334695,0,1.0854344704334695
0.0859375,1.2077494929509143,-0.05193567456338093,3.4382165832616365,1.7012298791034126,1.087612260156492,0,1.087612260156492
0.087890625,1.2068972529070108,-0.05285307534333959,3.4251546049337236,1.699143968497336,1.0897531786860224,0,1.0897531786860224
0.08984375,1.2060301745077593,-0.053760207621696685,3.411789568413432,1.6969811660351126,1.0918567822093057,0,1.0918567822093057
0.091796875,1.2051484236767027,-0.054657192338164386,3.3981276078290943,1.6947421791650938,1.0939226607219095,0,1.0939226607219095
0.09375,1.204252164646237,-0.055544151498796566,3.3841749056887354,1.6924277277315383,1.0959504284159336,0,1.0959504284159336
0.095703125,1.2033415592818593,-0.05642120839723504,3.3699377040416967,1.69003854806088,1.0979397373470052,0,1.0979397373470052
0.09765625,1.2024167678723314,-0.05728848709055234,3.3554222808403895,1.687575387056939,1.0998902610758317,0,1.0998902610758317
0.099609375,1.2014779482122195,-0.058146112662201786,3.340634963613358,1.685039007574456,1.1018017126563104,0,1.1018017126563104
0.1015625,1.2005252565209925,-0.05899421073747263,3.3255821069627167,1.6824301820788714,1.1036738263760664,0,1.1036738263760664
0.103515625,1.1995588465429607,-0.05983290764775335,3.310270102254787,1.6797496974986144,1.1055063746700697,0,1.1055063746700697
0.10546875,1.1985788703212843,-0.06066233008458006,3.294705361150599,1.6769983501468397,1.1072991532803884,0,1.1072991532803884
