frame,gammac,zetac,m,maxStep,period,firstPeriod,secondPeriod,r21,phi21,r31,phi31,phi1,phi2,phi3,amplitude1,amplitude2,amplitude3,status,message,phaseRows
8,0.52,10,10,0.02,2.364981327849989,2.3649585551207792,2.365004100579199,0.18428841892373354,0.7389196219688836,0.02895379710432034,0.7236244526293865,3.426876713480787,1.3094877417508712,4.721069285892161,0.02375928311240943,0.004378560719547297,0.0006879214625808074,complete,complete,240
9,0.51,10,10,0.02,2.369103333377325,2.3690512941168436,2.369155372637806,0.2568365918146523,0.8198074549846925,0.05863965557920858,0.8497181638516871,3.531194624187182,1.5990113961794705,5.160116729233646,0.03367907783457021,0.008650019566491413,0.0019749295244445553,complete,complete,240
10,0.50,10,10,0.02,2.3732315662830388,2.3731961892212894,2.373266943344788,0.30387438440619613,0.9007149032399884,0.08589430286948166,0.9784563881405592,3.584517250085056,1.7865640962305136,5.448822831216141,0.040766162092400644,0.012387792410431454,0.003501581073591043,complete,complete,240
11,0.49,10,10,0.02,2.377551150136412,2.3775542742101834,2.377548026062641,0.33626332148458066,0.9814359682769593,0.11047476730016421,1.1079007568524917,3.6128595444259792,1.9239697499493325,5.663294082950842,0.04643704790130376,0.015615075967230978,0.005130122061003112,complete,complete,241
12,0.48,10,10,0.02,2.3818052504425395,2.3818003649419097,2.3818101359431694,0.35828120609801445,1.0603672783102471,0.13252301439217373,1.2381510007157583,3.62665458218789,2.0304911355064412,5.834929440099843,0.051238487429227986,0.018357787074781754,0.006790278807016793,complete,complete,241
13,0.47,10,10,0.02,2.3861839265161393,2.386234203204367,2.3861336498279115,0.3722673888865557,1.137939409562609,0.15176807880374196,1.3669786956259458,3.631213203007681,2.117180508398386,5.977432997469403,0.05548426701533962,0.02065498320608493,0.008420740608751925,complete,complete,242
14,0.46,10,10,0.02,2.3905719301154136,2.3905590122926696,2.3905848479381575,0.3796164863884538,1.212033652230339,0.1686779669834013,1.4941572363221027,3.6296832196289865,2.1882147843087267,6.100021588029476,0.05932808139986152,0.02252191780518361,0.010007340155554385,complete,complete,242
15,0.45,10,10,0.02,2.394960721732957,2.395008714683968,2.3949127287819465,0.38113419411612476,1.2854555652597872,0.18207045226994498,1.6216117893083393,3.623691254329284,2.2496527667387696,6.209500245116605,0.0628718373666474,0.02396260706733722,0.011447103864387919,complete,complete,242
16,0.44,10,10,0.02,2.399384291760157,2.3993465471244235,2.3994220363958902,0.3778639882611832,1.3556542020907205,0.19270324087117482,1.7464885514988886,3.6144274109363845,2.3013237167839034,0.02340016994886973,0.06621344225043574,0.025019675365251185,0.012759544910895343,complete,complete,242
17,0.43,10,10,0.02,2.403798299363075,2.4037903174021267,2.403806281324023,0.3710587035486693,1.4204188504137019,0.20077149053334384,1.8636301723138633,3.603229990468708,2.343693524171531,0.10694952936081581,0.0695001169125963,0.025788623278068933,0.013953642064783618,complete,complete,244
18,0.42,10,10,0.02,2.408205423527761,2.408224638146862,2.40818620890866,0.36090978713691024,1.4811870376105851,0.2074177185197308,1.9826997453253483,3.5913057065242158,2.3806131434794295,0.1902462505388245,0.07260551596152286,0.02620404131063875,0.015059670472686968,complete,complete,243
19,0.41,10,10,0.02,2.412629969234331,2.4126254419271618,2.4126344965415,0.3480457913150433,1.5362061191889378,0.21112355468998112,2.094340604499111,3.5782822943130728,2.409585400635498,0.26281687307915735,0.07570373567775864,0.02634836658947038,0.01598284177959915,complete,complete,244
20,0.40,10,10,0.02,2.417012881100902,2.4169812493071277,2.4170445128946767,0.3325859001406798,1.5870718773195307,0.21226099426377618,2.2041282741633275,3.564534910379798,2.432956390899541,0.331362390943549,0.07871319124918269,0.026178897564554902,0.016707740236226284,complete,complete,244
21,0.39,10,10,0.02,2.421302910580664,2.421301948453447,2.421303872707881,0.31617910476126954,1.6302430688456422,0.21219002777970236,2.30827859370668,3.551454716693443,2.449967195052942,0.39627212942783707,0.08175168256976605,0.02584817380763611,0.017346891795516066,complete,complete,245
22,0.38,10,10,0.02,2.425648124875238,2.4256574620861784,2.4256387876642975,0.29791238989949087,1.6660412939834854,0.20956155498816806,2.4061026479335794,3.5377884538894584,2.458432894582817,0.45309739524278125,0.08476194818383963,0.025251634555984472,0.01776284566523196,complete,complete,245
23,0.37,10,10,0.02,2.429866733838878,2.4298624905868564,2.4298709770909,0.2788803411809363,1.6950868216536152,0.20542644205576316,2.5020358406723187,3.524612856570239,2.461127227614508,0.5095037960238615,0.08774290782330854,0.02446977206997173,0.01802471336976906,complete,complete,246
24,0.36,10,10,0.02,2.434086522556129,2.43414296095375,2.4340300841585076,0.26018280247815617,1.7134256527056513,0.20014959599870702,2.5902186219961774,3.5124442145816666,2.455128774689399,0.5611806513820055,0.09080869355815195,0.023626860379340062,0.0181753233288345,complete,complete,247
25,0.35,10,10,0.02,2.4382411911321356,2.4382631145782625,2.4382192676860086,0.23987606452932955,1.7241725319921795,0.1928136665651401,2.6788233721880097,3.499789871870074,2.4405669685527407,0.6118223734390593,0.0937165171455507,0.022480349314270138,0.018069825288548447,complete,complete,247
26,0.34,10,10,0.02,2.4423063995114944,2.4422580735239308,2.442354725499058,0.2210712201544546,1.7197424102949483,0.18505759254958665,2.7566490548996505,3.4884140446700553,2.413385192455472,0.6555205745506445,0.09674640298396986,0.021387845353220785,0.017903656424045608,complete,complete,247
27,0.33,10,10,0.02,2.44633808590487,2.446336347699912,2.4463398241098275,0.2020586133210048,1.702785817772206,0.17531959554333346,2.833013399891172,3.476957793092943,2.3735160967785056,0.6975161648108275,0.09970941965951535,0.020147147071443806,0.017481015126566732,complete,complete,247
28,0.32,10,10,0.02,2.4502653924378137,2.4503159116019333,2.450214873273694,0.18600879602108258,1.6670017455575383,0.16610525376918175,2.8979150672061778,3.468092488810688,2.3200014159993287,0.7358219192790676,0.10282558639580512,0.01912646352564552,0.01707987012224013,complete,complete,248
29,0.31,10,10,0.02,2.4541279626241135,2.454127962624625,2.454127962623602,0.16949738174866322,1.6158544154712509,0.1546802076653513,2.965862563489612,3.4577822356574974,2.2482335796066586,0.7728386561029321,0.10575290519062132,0.01792484054212493,0.01635788133609951,complete,complete,248
30,0.30,10,10,0.02,2.4578951284483423,2.457872823387447,2.4579174335092375,0.15598150786030038,1.5450287885376186,0.14342009181171367,3.0271513014227587,3.449079921433534,2.1600033242251016,0.8080204513641895,0.10874289017354698,0.016961879978356898,0.015595915292561205,complete,complete,249
31,0.29,10,10,0.02,2.461598496884392,2.4616234165686137,2.46157357720017,0.14453048287011142,1.456225076034964,0.13175311817916133,3.089024358672658,3.440807154812508,2.054654078480393,0.8450752087510107,0.11165474442639187,0.016137514126685296,0.01471086073767446,complete,complete,250
32,0.28,10,10,0.02,2.465224665357084,2.465251165142263,2.4651981655719055,0.1369334061747415,1.3445852465082622,0.11950378019727095,3.1355710342332657,3.4333712913738097,1.9281425220762962,0.8693142939955223,0.11464412945015943,0.015698611143548327,0.01370040684671933,complete,complete,249
33,0.27,10,10,0.02,2.4687393823838306,2.4687123484492304,2.468766416318431,0.13265284269186117,1.2204401059237746,0.10669973581397342,3.1777606255328514,3.426543071521311,1.7903409417868108,0.8910192257376117,0.11759871555747277,0.01559980391561036,0.01254775188204495,complete,complete,250
34,0.26,10,10,0.02,2.472152666376985,2.472151698086236,2.472153634667734,0.13254140167175063,1.0939495905796948,0.09422295064981508,3.207279849327751,3.42089884155127,1.652561966502649,0.9036057596223888,0.12058742036628266,0.01598282571932771,0.011362102558160756,complete,complete,250
35,0.25,10,10,0.02,2.4754974445829134,2.4755505873741868,2.47544430179164,0.13576502728014486,0.9707266820901026,0.08094555473955356,3.2267067484282688,3.4157155742139613,1.518972523338439,0.9074828567109785,0.12356033241867083,0.016775171901564613,0.010001659651432954,complete,complete,251
