frame,gammac,zetac,m,maxStep,period,firstPeriod,secondPeriod,phi31,phi1,phi3,amplitude1,amplitude3,status,message,phaseRows
19,0.33,10,10,0.02,2.44633808590487,2.446336347699912,2.4463398241098275,2.833013399891172,3.476957793092943,0.6975161648108275,0.09970941965951535,0.017481015126566732,complete,complete,247
20,0.32,10,10,0.02,2.4502653924378137,2.4503159116019333,2.450214873273694,2.8979150672061778,3.468092488810688,0.7358219192790676,0.10282558639580512,0.01707987012224013,complete,complete,248
21,0.31,10,10,0.02,2.4541279626241135,2.454127962624625,2.454127962623602,2.965862563489612,3.4577822356574974,0.7728386561029321,0.10575290519062132,0.01635788133609951,complete,complete,248
22,0.30,10,10,0.02,2.4578951284483423,2.457872823387447,2.4579174335092375,3.0271513014227587,3.449079921433534,0.8080204513641895,0.10874289017354698,0.015595915292561205,complete,complete,249
23,0.29,10,10,0.02,2.461598496884392,2.4616234165686137,2.46157357720017,3.089024358672658,3.440807154812508,0.8450752087510107,0.11165474442639187,0.01471086073767446,complete,complete,250
24,0.28,10,10,0.02,2.465224665357084,2.465251165142263,2.4651981655719055,3.1355710342332657,3.4333712913738097,0.8693142939955223,0.11464412945015943,0.01370040684671933,complete,complete,249
25,0.27,10,10,0.02,2.4687393823838306,2.4687123484492304,2.468766416318431,3.1777606255328514,3.426543071521311,0.8910192257376117,0.11759871555747277,0.01254775188204495,complete,complete,250
26,0.26,10,10,0.02,2.472152666376985,2.472151698086236,2.472153634667734,3.207279849327751,3.42089884155127,0.9036057596223888,0.12058742036628266,0.011362102558160756,complete,complete,250
27,0.25,10,10,0.02,2.4754974445829134,2.4755505873741868,2.47544430179164,3.2267067484282688,3.4157155742139613,0.9074828567109785,0.12356033241867083,0.010001659651432954,complete,complete,251
28,0.24,10,10,0.02,2.478754491623306,2.478746884950965,2.478762098295647,3.2473981701662193,3.4104942844634833,0.9125104091974974,0.12636610592794933,0.008643126628622379,complete,complete,251
29,0.23,10,10,0.02,2.48189556543457,2.4818807744287597,2.4819103564403804,3.226836215874851,3.405709087587518,0.8775928642782329,0.12923501799787107,0.007115869425190982,complete,complete,252
30,0.22,10,10,0.02,2.4849297612585133,2.484964250556345,2.4848952719606814,3.1542597062719846,3.40275274597938,0.7961473298509514,0.13219500104826076,0.005675405049001893,complete,complete,251
31,0.21,10,10,0.02,2.4878779533584634,2.487877963127744,2.487877943589183,3.01179212373912,3.3995654901746564,0.6441179799039167,0.1350155296484262,0.004256080529890583,complete,complete,252
32,0.20,10,10,0.02,2.4907228913324957,2.490736848404481,2.4907089342605104,2.684520227938778,3.396981847829966,0.3090951570695042,0.13781944273027577,0.0030716270047238393,complete,complete,252
33,0.19,10,10,0.02,2.493483703155732,2.4934455584921125,2.493521847819352,2.1143620854171896,3.395112084095373,6.016513030523723,0.14058315518638562,0.0026516179585238174,complete,complete,253
34,0.18,10,10,0.02,2.496128978029901,2.496124562425962,2.4961333936338406,1.5697158964991198,3.3936602418658954,5.46751131491722,0.14335519100916233,0.0034263417074668436,complete,complete,253
35,0.17,10,10,0.02,2.4987084440657554,2.49870681045752,2.498710077673991,1.2994011617973111,3.3930945608972687,5.195499537309532,0.14615166001957933,0.004944265029294931,complete,complete,253
36,0.16,10,10,0.02,2.5011580911854026,2.5011833456378554,2.5011328367329497,1.166474440818135,3.3924397190383977,5.060608290753741,0.14880470792945732,0.006651406783601122,complete,complete,252
37,0.15,10,10,0.02,2.5035228218133057,2.503543028284639,2.503502615341972,1.1042021488983425,3.392292225902967,4.997893519427657,0.15146750044330445,0.008559402378537822,complete,complete,254
38,0.14,10,10,0.02,2.5057939219030914,2.5057931344204007,2.505794709385782,1.0758698575918473,3.3927953065430865,4.971070470041521,0.15408954699551375,0.010512310868523979,complete,complete,254
39,0.13,10,10,0.02,2.507962778307842,2.5079611721588435,2.507964384456841,1.0660354656358013,3.3938068060408777,4.964270576578848,0.1566898894269881,0.012551700747277262,complete,complete,253
40,0.12,10,10,0.02,2.5100485178907093,2.5100609289563636,2.510036106825055,1.064849510985617,3.3950836212509103,4.966915067558762,0.15924224293458408,0.014620524443248151,complete,complete,254
41,0.11,10,10,0.02,2.512036461519415,2.5120447031411004,2.5120282198977293,1.070093363589252,3.3971682386130047,4.978412772248679,0.161803361864834,0.01670067959725049,complete,complete,255
42,0.10,10,10,0.02,2.51393268528534,2.5139326473508845,2.5139327232197957,1.0814436047589506,3.3992171963264153,4.995909886558611,0.1642639050545884,0.018867840842806755,complete,complete,255
43,0.09,10,10,0.02,2.5157398278731193,2.5157398617268427,2.515739794019396,1.0928081022934837,3.4021792185525093,5.016160450771425,0.16670707098986368,0.02098072152528147,complete,complete,254
44,0.08,10,10,0.02,2.5174552947948428,2.5174571875645597,2.517453402025126,1.1058291802582634,3.405045526667534,5.037780453081279,0.16908602102843792,0.02307925695967117,complete,complete,255
45,0.07,10,10,0.02,2.5190898499614605,2.5190936891070805,2.5190860108158404,1.1233892712032887,3.4090420398988655,5.067330083720298,0.17152285540550494,0.025338504955178892,complete,complete,255
46,0.06,10,10,0.02,2.520628735019386,2.520633196160361,2.5206242738784113,1.1381146156912019,3.4129789085073456,5.0938660340336535,0.17375465165440654,0.027428426960783223,complete,complete,254
47,0.05,10,10,0.02,2.522098255892729,2.5220984864170077,2.52209802536845,1.1563664869233383,3.418313822063129,5.128122645933138,0.17624772640105002,0.029736133947966016,complete,complete,255
48,0.04,10,10,0.02,2.5234810436851944,2.523481079076987,2.523481008293402,1.1731419290346157,3.4231814222838564,5.159500888706598,0.1784687554579361,0.03189367579761242,complete,complete,256
49,0.03,10,10,0.02,2.5247975037778474,2.5248021516014205,2.5247928559542743,1.188451136041257,3.4289200276589917,5.1920259118386465,0.18061740265919257,0.03397919341891322,complete,complete,255
50,0.02,10,10,0.02,2.5260088237910736,2.5259690231914647,2.5260486243906826,1.20723304076658,3.4354810081830305,5.230490758136085,0.18281283136436982,0.03621523183200626,complete,complete,255
51,0.01,10,10,0.02,2.52715515529718,2.527183830822082,2.527126479772278,1.2214058282636229,3.4419059141185206,5.263938263439598,0.1849474229527234,0.03825523424375093,complete,complete,256
52,0.00,10,10,0.02,2.5282098391479053,2.528240512585171,2.5281791657106396,1.240817581935863,3.4502662291490274,5.308430962203358,0.18718469864023543,0.040591247101803854,complete,complete,256
