frame,gammac,zetac,m,maxStep,period,firstPeriod,secondPeriod,phi31,phi1,phi3,amplitude1,amplitude3,status,message,phaseRows
0,0.52,10,10,0.02,2.364981327849989,2.3649585551207792,2.365004100579199,0.7236244526293865,3.426876713480787,4.721069285892161,0.02375928311240943,0.0006879214625808074,complete,complete,240
1,0.51,10,10,0.02,2.369103333377325,2.3690512941168436,2.369155372637806,0.8497181638516871,3.531194624187182,5.160116729233646,0.03367907783457021,0.0019749295244445553,complete,complete,240
2,0.50,10,10,0.02,2.3732315662830388,2.3731961892212894,2.373266943344788,0.9784563881405592,3.584517250085056,5.448822831216141,0.040766162092400644,0.003501581073591043,complete,complete,240
3,0.49,10,10,0.02,2.377551150136412,2.3775542742101834,2.377548026062641,1.1079007568524917,3.6128595444259792,5.663294082950842,0.04643704790130376,0.005130122061003112,complete,complete,241
4,0.48,10,10,0.02,2.3818052504425395,2.3818003649419097,2.3818101359431694,1.2381510007157583,3.62665458218789,5.834929440099843,0.051238487429227986,0.006790278807016793,complete,complete,241
5,0.47,10,10,0.02,2.3861839265161393,2.386234203204367,2.3861336498279115,1.3669786956259458,3.631213203007681,5.977432997469403,0.05548426701533962,0.008420740608751925,complete,complete,242
6,0.46,10,10,0.02,2.3905719301154136,2.3905590122926696,2.3905848479381575,1.4941572363221027,3.6296832196289865,6.100021588029476,0.05932808139986152,0.010007340155554385,complete,complete,242
7,0.45,10,10,0.02,2.394960721732957,2.395008714683968,2.3949127287819465,1.6216117893083393,3.623691254329284,6.209500245116605,0.0628718373666474,0.011447103864387919,complete,complete,242
8,0.44,10,10,0.02,2.399384291760157,2.3993465471244235,2.3994220363958902,1.7464885514988886,3.6144274109363845,0.02340016994886973,0.06621344225043574,0.012759544910895343,complete,complete,242
9,0.43,10,10,0.02,2.403798299363075,2.4037903174021267,2.403806281324023,1.8636301723138633,3.603229990468708,0.10694952936081581,0.0695001169125963,0.013953642064783618,complete,complete,244
10,0.42,10,10,0.02,2.408205423527761,2.408224638146862,2.40818620890866,1.9826997453253483,3.5913057065242158,0.1902462505388245,0.07260551596152286,0.015059670472686968,complete,complete,243
11,0.41,10,10,0.02,2.412629969234331,2.4126254419271618,2.4126344965415,2.094340604499111,3.5782822943130728,0.26281687307915735,0.07570373567775864,0.01598284177959915,complete,complete,244
12,0.40,10,10,0.02,2.417012881100902,2.4169812493071277,2.4170445128946767,2.2041282741633275,3.564534910379798,0.331362390943549,0.07871319124918269,0.016707740236226284,complete,complete,244
13,0.39,10,10,0.02,2.421302910580664,2.421301948453447,2.421303872707881,2.30827859370668,3.551454716693443,0.39627212942783707,0.08175168256976605,0.017346891795516066,complete,complete,245
14,0.38,10,10,0.02,2.425648124875238,2.4256574620861784,2.4256387876642975,2.4061026479335794,3.5377884538894584,0.45309739524278125,0.08476194818383963,0.01776284566523196,complete,complete,245
15,0.37,10,10,0.02,2.429866733838878,2.4298624905868564,2.4298709770909,2.5020358406723187,3.524612856570239,0.5095037960238615,0.08774290782330854,0.01802471336976906,complete,complete,246
16,0.36,10,10,0.02,2.434086522556129,2.43414296095375,2.4340300841585076,2.5902186219961774,3.5124442145816666,0.5611806513820055,0.09080869355815195,0.0181753233288345,complete,complete,247
17,0.35,10,10,0.02,2.4382411911321356,2.4382631145782625,2.4382192676860086,2.6788233721880097,3.499789871870074,0.6118223734390593,0.0937165171455507,0.018069825288548447,complete,complete,247
18,0.34,10,10,0.02,2.4423063995114944,2.4422580735239308,2.442354725499058,2.7566490548996505,3.4884140446700553,0.6555205745506445,0.09674640298396986,0.017903656424045608,complete,complete,247
