frame,gammac,zetac,m,maxStep,period,firstPeriod,secondPeriod,startTau,midTau,endTau,startSampleTau,midSampleTau,endSampleTau,maxAbsRefinementTau,status,message,storedRows,phaseRows
0,0.60,10,10,0.02,2.399642857140691,2.3799999999978354,2.4192857142835464,993.369361260137,995.7493612601348,998.1686469744184,993.3736469744227,995.7536469744206,998.1736469744184,0.0049999999999954525,complete,complete,50001,243
1,0.59,10,10,0.02,2.3916214574877017,2.3924736842084258,2.3907692307669777,993.5654260084275,995.9578996926359,998.3486689234029,993.559899692638,995.9598996926359,998.3398996926337,0.008769230769189562,complete,complete,50001,242
2,0.58,10,10,0.02,2.386878388023547,2.386888247515685,2.3868685285314086,993.8355439598566,996.2224322073723,998.6093007359037,993.8258256499975,996.2258256499953,998.6058256499931,0.009718309859181318,complete,complete,50001,242
3,0.57,10,10,0.02,2.3816367979293886,2.381636680123279,2.3816369157354984,994.1675975261179,996.5492342062412,998.9308711219767,994.1703256303167,996.5503256303145,998.9303256303124,0.0027281041988089783,complete,complete,50001,242
4,0.56,10,10,0.02,2.376512886315709,2.37651328259426,2.3765124900371575,994.5730283895294,996.9495416721237,999.3260541621609,994.572552569034,996.9525525690318,999.3325525690296,0.006498406868786333,complete,complete,50001,240
5,0.55,10,10,0.02,2.371500822399014,2.3715024846079586,2.3714991601900692,995.0780150797721,997.44951756438,999.8210167245701,995.0726214420538,997.4526214420516,999.8126214420495,0.008395282520609726,complete,complete,50001,240
6,0.54,10,10,0.02,2.3665883969314905,2.366589696443498,2.366587097419483,993.3976271866728,995.7642168831163,998.1308039805358,993.389901324341,995.7699013243389,998.1299013243367,0.00772586233176753,complete,complete,50001,240
7,0.53,10,10,0.02,2.362627231868771,2.3626262494601633,2.362628214277379,994.7345749819171,997.0972012313773,999.4598294456547,994.744438677393,997.1044386773908,999.4644386773887,0.009863695475814893,complete,complete,50001,239
8,0.52,10,10,0.02,2.364981327849989,2.3649585551207792,2.365004100579199,993.0282556765204,995.3932142316412,997.7582183322204,993.0356893107587,995.3956893107566,997.7556893107544,0.0074336342382821385,complete,complete,50001,240
9,0.51,10,10,0.02,2.369103333377325,2.3690512941168436,2.369155372637806,994.434985659096,996.8040369532129,999.1731923258507,994.4415777344535,996.8015777344514,999.1815777344492,0.008385408598542199,complete,complete,50001,240
10,0.50,10,10,0.02,2.3732315662830388,2.3731961892212894,2.373266943344788,993.6475361401584,996.0207323293797,998.3939992727245,993.6569899469862,996.016989946984,998.3969899469819,0.00945380682776431,complete,complete,50001,240
11,0.49,10,10,0.02,2.377551150136412,2.3775542742101834,2.377548026062641,992.9338248519394,995.3113791261496,997.6889271522123,992.9393897075324,995.3193897075303,997.6793897075281,0.009537444684156071,complete,complete,50001,241
12,0.48,10,10,0.02,2.3818052504425395,2.3818003649419097,2.3818101359431694,994.6444742631569,997.0262746280988,999.408084764042,994.6520727810553,997.0315974080836,999.4111158389213,0.007598517898372847,complete,complete,50001,241
13,0.47,10,10,0.02,2.3861839265161393,2.386234203204367,2.3861336498279115,994.0040165558434,996.3902507590477,998.7763844088756,994.0053953549291,996.3824069115954,998.7800125276694,0.007843847452363661,complete,complete,50001,242
14,0.46,10,10,0.02,2.3905719301154136,2.3905590122926696,2.3905848479381575,993.3796991432114,995.770258155504,998.1608430034422,993.3773660023065,995.7717097360519,998.1660550202425,0.005212016800328456,complete,complete,50001,242
15,0.45,10,10,0.02,2.394960721732957,2.395008714683968,2.3949127287819465,995.1586701773743,997.5536788920583,999.9485916208403,995.152459077072,997.5628854757455,999.9533488093113,0.009206583687159764,complete,complete,50001,242
16,0.44,10,10,0.02,2.399384291760157,2.3993465471244235,2.3994220363958902,994.5490247855188,996.9483713326432,999.3477933690391,994.5423336526288,996.9481682910842,999.3542527577616,0.006691132889955043,complete,complete,50001,242
17,0.43,10,10,0.02,2.403798299363075,2.4037903174021267,2.403806281324023,993.9359017705881,996.3396920879902,998.7434983693142,993.9405176878148,996.3412255905506,998.742151369753,0.004615917226715283,complete,complete,50001,244
18,0.42,10,10,0.02,2.408205423527761,2.408224638146862,2.40818620890866,993.3145935491618,995.7228181873087,998.1310043962173,993.3205298008453,995.7165036195029,998.1324006556631,0.006314567805816296,complete,complete,50001,243
19,0.41,10,10,0.02,2.412629969234331,2.4126254419271618,2.4126344965415,995.0933795051534,997.5060049470806,999.918639443622,995.0921676996709,997.5025691636532,999.912875519259,0.00576392436300921,complete,complete,50001,244
20,0.40,10,10,0.02,2.417012881100902,2.4169812493071277,2.4170445128946767,994.4476313425706,996.8646125918777,999.2816571047724,994.4431652778353,996.8680420487835,999.2728562819651,0.008800822807302211,complete,complete,50001,244
21,0.39,10,10,0.02,2.421302910580664,2.421301948453447,2.421303872707881,993.7820682181672,996.2033701666206,998.6246740393285,993.7722603608179,996.2112528652217,998.6301272093988,0.00980785734930123,complete,complete,50001,245
22,0.38,10,10,0.02,2.425648124875238,2.4256574620861784,2.4256387876642975,993.0933254228833,995.5189828849694,997.9446216726337,993.0917696292065,995.5249881872974,997.9381060069829,0.006515665650795199,complete,complete,50001,245
23,0.37,10,10,0.02,2.429866733838878,2.4298624905868564,2.4298709770909,994.8086578881805,997.2385203787674,999.6683913558583,994.8166123190299,997.2441648785796,999.6716604464468,0.007954430849395067,complete,complete,50001,246
24,0.36,10,10,0.02,2.434086522556129,2.43414296095375,2.4340300841585076,994.0696640779715,996.5038070389253,998.9378371230838,994.0731461487866,996.4949213844939,998.9368017042168,0.008885654431423973,complete,complete,50001,247
25,0.35,10,10,0.02,2.4382411911321356,2.4382631145782625,2.4382192676860086,993.2997619302447,995.738025044823,998.176244312509,993.2926015125523,995.7285611770991,998.1846226802868,0.009463867723866315,complete,complete,50001,247
26,0.34,10,10,0.02,2.4423063995114944,2.4422580735239308,2.442354725499058,994.9390513152331,997.381309388757,999.8236641142561,994.930233934406,997.3805843561313,999.8310709690633,0.008817380827053967,complete,complete,50001,247
27,0.33,10,10,0.02,2.44633808590487,2.446336347699912,2.4463398241098275,994.1049571461447,996.5512934938446,998.9976333179544,994.1010980450147,996.5461185563097,998.991025013548,0.0066083044064271235,complete,complete,50001,247
