frame,gammac,zetac,m,maxStep,period,firstPeriod,secondPeriod,startTau,midTau,endTau,startSampleTau,midSampleTau,endSampleTau,maxAbsRefinementTau,status,message,storedRows,phaseRows
28,0.32,10,10,0.02,2.4502653924378137,2.4503159116019333,2.450214873273694,993.2341244596454,995.6844403712473,998.134655244521,993.2361003145941,995.6759426565778,998.1353949960223,0.008497714669488232,complete,complete,50001,248
29,0.31,10,10,0.02,2.4541279626241135,2.454127962624625,2.454127962623602,994.7792225678933,997.2333505305179,999.6874784931415,994.7883242789488,997.2424522416405,999.6965802042756,0.009101711134121615,complete,complete,50001,248
30,0.30,10,10,0.02,2.4578951284483423,2.457872823387447,2.4579174335092375,993.8343546585658,996.2922274819532,998.7501449154624,993.8263728368321,996.2958220657763,998.7453082131871,0.007981821733665129,complete,complete,50001,249
31,0.29,10,10,0.02,2.461598496884392,2.4616234165686137,2.46157357720017,992.8487566740629,995.3103800906315,997.7719536678317,992.856631509843,995.300973422622,997.7656869217043,0.009406668009546593,complete,complete,50001,250
32,0.28,10,10,0.02,2.465224665357084,2.465251165142263,2.4651981655719055,994.2866726180403,996.7519237831825,999.2171219487544,994.2837287420376,996.7437622792737,999.2237227876875,0.008161503908809209,complete,complete,50001,249
33,0.27,10,10,0.02,2.4687393823838306,2.4687123484492304,2.468766416318431,993.2205073753584,995.6892197238076,998.157986140126,993.2146160550396,995.6900178371679,998.1653361972743,0.007350057148300948,complete,complete,50001,250
34,0.26,10,10,0.02,2.472152666376985,2.472151698086236,2.472153634667734,994.5833616412535,997.0555133393398,999.5276669740075,994.5907890410837,997.0615698899638,999.5322668380734,0.007427399830135073,complete,complete,50001,250
35,0.25,10,10,0.02,2.4754974445829134,2.4755505873741868,2.47544430179164,993.4337475818015,995.9092981691757,998.3847424709674,993.4352052544208,995.9190395709098,998.3857942707093,0.009741401734117972,complete,complete,50001,251
36,0.24,10,10,0.02,2.478754491623306,2.478746884950965,2.478762098295647,994.7188812071947,997.1976280921457,999.6763901904413,994.7200668811721,997.2020184005938,999.6843738787351,0.007983688293734303,complete,complete,50001,251
37,0.23,10,10,0.02,2.48189556543457,2.4818807744287597,2.4819103564403804,993.4842048285018,995.9660856029305,998.4479959593709,993.4864995031811,995.9648050988094,998.4405307687775,0.007465190593393345,complete,complete,50001,252
38,0.22,10,10,0.02,2.4849297612585133,2.484964250556345,2.4848952719606814,994.6900610155345,997.1750252660909,999.6599205380516,994.689332658918,997.1836033464001,999.6581362270471,0.008578080309234792,complete,complete,50001,251
39,0.21,10,10,0.02,2.4878779533584634,2.487877963127744,2.487877943589183,993.3695873192352,995.8574652823629,998.3453432259521,993.3656898601774,995.8537561507998,998.3418373223494,0.0038974590577254276,complete,complete,50001,252
40,0.20,10,10,0.02,2.4907228913324957,2.490736848404481,2.4907089342605104,994.49553314583,996.9862699942345,999.476978928495,994.4880134661533,996.9948696058331,999.4820149650536,0.008599611598583579,complete,complete,50001,252
41,0.19,10,10,0.02,2.493483703155732,2.4934455584921125,2.493521847819352,993.089408373531,995.5828539320231,998.0763757798425,993.0796572862533,995.5830301044529,998.0667726397796,0.009751087277663828,complete,complete,50001,253
42,0.18,10,10,0.02,2.496128978029901,2.496124562425962,2.4961333936338406,994.135525223083,996.631649785509,999.1277831791429,994.1278926776739,996.6275993614579,999.1276969778265,0.007632545409137492,complete,complete,50001,253
43,0.17,10,10,0.02,2.4987084440657554,2.49870681045752,2.498710077673991,992.6445958091624,995.1433026196199,997.6420126972939,992.638848611108,995.1356940735373,997.6323507113825,0.0096619859114071,complete,complete,50001,253
44,0.16,10,10,0.02,2.5011580911854026,2.5011833456378554,2.5011328367329497,993.6117323017219,996.1129156473597,998.6140484840927,993.6084489503717,996.1224347653023,998.6158715493408,0.009519117942545563,complete,complete,50001,252
45,0.15,10,10,0.02,2.5035228218133057,2.503543028284639,2.503502615341972,994.5410502576134,997.044593285898,999.54809590124,994.5460555426548,997.0542371341446,999.544931210547,0.00964384824658282,complete,complete,50001,254
46,0.14,10,10,0.02,2.5057939219030914,2.5057931344204007,2.505794709385782,992.9270475342598,995.4328406686802,997.938635378066,992.9284459841703,995.4338470421727,997.9415053609213,0.002869982855258968,complete,complete,50001,254
47,0.13,10,10,0.02,2.507962778307842,2.5079611721588435,2.507964384456841,993.779526511019,996.2874876831778,998.7954520676346,993.7868979744003,996.2920220722656,998.7969641298153,0.007371463381332433,complete,complete,50001,253
48,0.12,10,10,0.02,2.5100485178907093,2.5100609289563636,2.510036106825055,994.5953452290647,997.1054061580211,999.6154422648461,994.5963580049605,997.095965340318,999.6183569677761,0.009440817703080029,complete,complete,50001,254
49,0.11,10,10,0.02,2.512036461519415,2.5120447031411004,2.5120282198977293,992.8629598429785,995.3750045461196,997.8870327660173,992.8650368118721,995.3846030998027,997.8843770425663,0.009598553683076716,complete,complete,50001,255
50,0.10,10,10,0.02,2.51393268528534,2.5139326473508845,2.5139327232197957,993.6050419103741,996.118974557725,998.6329072809448,993.5996225050761,996.1141613245492,998.6285844324955,0.005419405297971025,complete,complete,50001,255
51,0.09,10,10,0.02,2.5157398278731193,2.5157398617268427,2.515739794019396,994.3120797707319,996.8278196324587,999.3435594264781,994.3082640282544,996.8226625971216,999.3369421937999,0.006617232678195251,complete,complete,50001,254
52,0.08,10,10,0.02,2.5174552947948428,2.5174571875645597,2.517453402025126,992.4671930818596,994.9846502694242,997.5021036714493,992.4674978966077,994.9799298745043,997.512081890417,0.009978218967717112,complete,complete,50001,255
53,0.07,10,10,0.02,2.5190898499614605,2.5190936891070805,2.5190860108158404,993.1042629063935,995.6233565955006,998.1424426063164,993.0975806324955,995.6275058069426,998.1353200214851,0.007122584831336098,complete,complete,50001,255
54,0.06,10,10,0.02,2.520628735019386,2.520633196160361,2.5206242738784113,993.7081918591144,996.2288250552748,998.7494493291532,993.7057583071405,996.2337912929518,998.7588466281902,0.009397299037004814,complete,complete,50001,254
55,0.05,10,10,0.02,2.522098255892729,2.5220984864170077,2.52209802536845,994.2796145206148,996.8017130070318,999.3238110324003,994.2820024550117,996.8048125558003,999.3277134815837,0.0039024491834425135,complete,complete,50001,255
56,0.04,10,10,0.02,2.5234810436851944,2.523481079076987,2.523481008293402,994.8191919926647,997.3426730717417,999.8661540800351,994.8129407852452,997.3365899722714,999.8602264122962,0.006251207419495586,complete,complete,50001,256
57,0.03,10,10,0.02,2.5247975037778474,2.5248021516014205,2.5247928559542743,992.8028302946832,995.3276324462846,997.8524253022389,992.8121216107629,995.3338352275088,997.8557373932007,0.00929131607972522,complete,complete,50001,255
58,0.02,10,10,0.02,2.5260088237910736,2.5259690231914647,2.5260486243906826,993.279630301556,995.8055993247475,998.3316479491382,993.2751337793147,995.8148592594465,998.3320283804642,0.00925993469900277,complete,complete,50001,255
59,0.01,10,10,0.02,2.52715515529718,2.527183830822082,2.527126479772278,993.7267189569711,996.2539027877932,998.7810292675655,993.7188822583917,996.2568097597621,998.7746501969845,0.007836698579467338,complete,complete,50001,256
60,0.00,10,10,0.02,2.5282098391479053,2.528240512585171,2.5281791657106396,994.1449177728178,996.673158285403,999.2013374511137,994.1392699830582,996.6756274523859,999.2089883017644,0.007650850650747998,complete,complete,50001,256
