tau,R,V,H,L
0.0,1.2,0.0,0.8,1.0
0.012,1.199980211145209,-0.0032946963960275356,0.80331387534362,0.5897595870054654
0.03505435611122246,1.1998317860252898,-0.009570145621641197,0.8090866653469893,0.619694354712959
0.05942091565485717,1.1995184796987106,-0.016135391391583945,0.8144134191635977,0.6479854502630282
0.0849608842960206,1.199019173344598,-0.02295510111694314,0.8192435832740238,0.673979955143185
0.11155079844224297,1.19831501704634,-0.03000083900702914,0.8235659076407025,0.6972376338587855
0.13916236584585084,1.1973861798460235,-0.037271151525235226,0.8274110746879045,0.7175852626026721
0.16782503380954678,1.1962101915477248,-0.044780517101811704,0.830831792539672,0.7350236276844921
0.19760795715124327,1.194760676384606,-0.05255404499182398,0.8338923726771709,0.7496678393191647
0.22861039258308605,1.193006224599459,-0.06062470220393211,0.8366630842023437,0.7617053560592159
0.260957047810047,1.1909092194879076,-0.06903199470602155,0.8392173048343352,0.7713659692107312
0.294796676726902,1.1884244787765252,-0.07782156177963319,0.841630408869449,0.7789003026852076
0.3303031834297078,1.1854975670801973,-0.08704542784638579,0.8439798340501072,0.7845645412696377
0.3676791536883862,1.1820625942438452,-0.09676283485336204,0.8463460737710746,0.7886097463726293
0.407162402641106,1.1780392124995596,-0.10704174070852017,0.8488145687409225,0.7912745177751149
0.4490371694109528,1.1733283041488156,-0.11796130355768672,0.8514787130009945,0.7927800054793136
0.49365370534797687,1.1678053535760882,-0.12961614229117313,0.8544445688870984,0.7933263833131576
0.5414650297907693,1.161309280413414,-0.1421242985421914,0.8578386933595422,0.7930898075393548
0.5931033413638421,1.1536211656645867,-0.1556439802775136,0.8618225896092718,0.7922183624907578
0.6495632543777053,1.1444164138676247,-0.17041461926398938,0.8666240274216287,0.7908236060346585
0.712750442600569,1.1331275765533229,-0.1868831913942623,0.8726237450429787,0.788956284562707
0.7880034638237837,1.118331619720935,-0.20630053609434215,0.880731608909966,0.7864995836155624
0.8598909374985152,1.102845154980101,-0.22447100097941838,0.889555613305377,0.7839616725402709
0.9317784111732467,1.0860736906570232,-0.24199485757450234,0.8995388435835983,0.7811382155840575
0.9979325462828401,1.069556015269929,-0.2571873304462824,0.9098475793338843,0.778074581949818
1.0607397880988405,1.0529826875999768,-0.27030185292876013,0.9207244093660161,0.774435324782491
1.1215622535241456,1.036201863979688,-0.2811123481256627,0.9323669219762981,0.7697830235060532
1.1739884007489318,1.0212685115816542,-0.28814365763406025,0.9433633716511556,0.7643761582288638
1.216596118165347,1.0089102455317505,-0.29153046710668346,0.9530166455640587,0.7585842321644511
1.2519792299325723,0.998578232481347,-0.2920710915346146,0.9615611317799221,0.7524788119530343
1.2819828232943487,0.9898355792976603,-0.29030752517750563,0.9692077540944661,0.7461346733197904
1.3078251154787408,0.9823761573869966,-0.2866110368232821,0.9761055137501963,0.7396497869351468
1.3303741003698655,0.975969575147075,-0.28125057416898447,0.9823699862219379,0.7331299860214704
1.350269925067369,0.9704380922546666,-0.2744281797649074,0.98809304854573,0.7266837855938195
1.367998499331111,0.9656417620919404,-0.2663002378470118,0.9933493677718007,0.7204186794260633
1.3839372040852915,0.9614687096758927,-0.2569910324010939,0.9982006469675511,0.7144387312440601
1.399875908839472,0.9574616064480839,-0.2454112126886424,1.0031680945990846,0.7082620156865393
1.4143232874010638,0.9540057342268013,-0.2325997270228862,1.0077661963402669,0.7026772578131857
