Phase,tau,R,V,P,L
0.0,5.738727602280925,1.0774682306135746,0.720025645946948,1.0254030318529674,1.6377327730035345
0.005313841420811702,5.76356821410199,1.095244346687318,0.7109751273100828,1.0082881482336148,1.629266147455023
0.011045109890160968,5.790360171937206,1.1141477026442534,0.699957572994665,0.9899040304202368,1.6118488086899578
0.017690057603075758,5.821423305673436,1.1356762076438385,0.685971247556968,0.9689872387197348,1.5843619341961774
0.02377731868507539,5.849879421996217,1.155003854870433,0.6723386010524576,0.9504123638813443,1.5550733089816222
0.02986457976707502,5.878335538318998,1.173935375405261,0.6581640648664641,0.9325337299429153,1.5238957074360855
0.0355204010346779,5.904774803158103,1.191158871257687,0.644666579263964,0.9166144636712192,1.494479400883107
0.04090567145809916,5.929949324101793,1.207224206000697,0.6316270019801283,0.9021063049394896,1.466815383211189
0.04614837697304742,5.954457396939445,1.2225474971339725,0.6188300775345973,0.888599383069144,1.4406553289608135
0.051308224451417216,5.978578133355119,1.2373217406091903,0.6061905317090444,0.875896558474745,1.4159230908078766
0.05641987850498853,6.002473579992091,1.2516572660287897,0.5936660001413575,0.8638785939784683,1.3925714873448807
0.061505984123125475,6.0262495953707695,1.265624385841627,0.5812325060911453,0.8524636329752223,1.370553242354972
0.06658242027755581,6.049980408912315,1.2792707584379857,0.5688753115602754,0.8415908974850932,1.3498155906590346
0.0716608781893373,6.073720673561935,1.2926299609112981,0.5565847508290765,0.8312127542395384,1.3303005262013232
0.07675028427438861,6.0975121176316405,1.3057262398137417,0.5443540984312052,0.8212903843100516,1.3119464022817606
0.08185765286529144,6.121387531018429,1.3185773641443828,0.5321783868150003,0.8117912206027446,1.2946896476284524
0.08698862991997834,6.145373306879011,1.331196443984448,0.520053710488669,0.8026873353385758,1.2784662423726696
0.09214785720354621,6.1694911440703555,1.343593144597334,0.5079767970134436,0.7939543739353572,1.2632128803194922
0.09733922641870872,6.193759235133182,1.3557745273827044,0.49594473213709706,0.7855708203151092,1.2488678359192447
0.10256606294223103,6.218193125204586,1.3677456500863263,0.48395477757226507,0.7775174721404807,1.2353715807655035
0.10783126296170442,6.242806353091244,1.3795100058205438,0.4720042461851602,0.7697770539989165,1.2226671976127688
0.1131373989036345,6.267610944114051,1.391069850677022,0.460090413553848,0.7623339241967305,1.21070063518614
0.11848680278551445,6.292617799754011,1.4024264520943288,0.44821045294202855,0.7551738469910836,1.1994208403329898
0.12388163391839617,6.317837014141414,1.4135802793593073,0.4363613854692636,0.7482838118554221,1.1887797973719496
0.12932393536143127,6.34327813796385,1.4245311507861846,0.4245400401298428,0.7416518874686011,1.1787324985888539
0.13481568222229376,6.36895040425617,1.435278347673358,0.4127430200820983,0.7352671020121144,1.1692368648528666
0.14035882403422167,6.394862926500423,1.445820702172068,0.40096667274069375,0.7291193439064153,1.1602536312376486
0.14595532287464097,6.421024876818967,1.4561566641991992,0.3892070618803616,0.7231992788029276,1.151746209194934
0.15160718852036467,6.44744565031446,1.4662843511441557,0.37745994036116787,0.7174982797870819,1.143680534130758
0.1573165116899847,6.474135020468054,1.4762015831288857,0.36572072232364966,0.7120083685404557,1.1360249050773312
0.1630854962844652,6.50110328985448,1.4859059058766737,0.35398445379565274,0.7067221657595344,1.1287498214101228
0.16891649147508714,6.528361440143543,1.495394602727776,0.3422457806428186,0.7016328495210973,1.1218278201601972
0.17481202445916508,6.5559212852232625,1.5046646968955966,0.33049891276086507,0.696734120598953,1.115233316384616
0.18077483475611636,6.583795631523682,1.513712944737052,0.3187375832442251,0.692020173956292,1.10894244815337
0.1868079109936274,6.6119984499811455,1.5225358204877821,0.306955001082336,0.6874856758390615,1.1029329270160186
0.19291453126881006,6.640545064714576,1.531129492614749,0.29514379566058707,0.6831257460656732,1.0971838942419132
0.1990983083676305,6.669452364412716,1.5394897916350083,0.2832959509672523,0.6789359452652859,1.0916757826566
0.20536324139144954,6.698739043672687,1.5476121689020905,0.2714027269233901,0.6749122669800314,1.086390183501596
0.21171377571348382,6.728425883278432,1.5554916454720005,0.25945456458182603,0.671051134713147,1.0813097173758266
0.2181548736970425,6.758536080787222,1.5631227496836053,0.24744097103826282,0.6673494041949742,1.0764179079523397
0.22469209930086842,6.789095646034196,1.5704994414783884,0.23535037867495867,0.6638043713685459,1.0716990567682285
0.23133172067969038,6.8201338807591165,1.5776150207134947,0.22316997162831362,0.6604137868718469,1.0671381168938527
0.2380808362691804,6.851683968015656,1.5844620156821794,0.21088546994877663,0.6571758781549468,1.0627205626521183
0.24494753180172557,6.883783706172942,1.5910320466074017,0.1984808584948813,0.6540893808648696,1.0584322516971196
0.2519410785952878,6.916476435856395,1.5973156568816058,0.18593804253644794,0.651153581795091,1.0542592744984487
0.25907218774412644,6.94981222821297,1.6033021019212421,0.17323640455495976,0.6483683766587996,1.0501877844310774
0.26635334133019006,6.983849433224883,1.6089790811767348,0.16035222540730978,0.6457343473715,1.0462037988868786
0.2737992319727813,7.018656734472208,1.6143323923102109,0.1472579152434769,0.6432528656596976,1.0422929574442565
0.28142735830611637,7.054315932811529,1.6193454762088075,0.13392097124284097,0.6409262331876547,1.0384402161717232
0.28925885082364633,7.090925806949968,1.6239988046358727,0.12030253253612602,0.6387578738850287,1.034629445671936
