Phase,tau,R,V,H,L
0.0,1.82117312604486,1.000276915581933,0.2983772597167417,1.037206312841791,1.2938891945933084
0.009722340225701473,1.8507811788188673,1.0090935418812956,0.29686822954947095,1.0283148119052572,1.2933280464989436
0.020527169873698264,1.8836858045576734,1.018807959314471,0.293307120796604,1.0182076838692211,1.2846000686453916
0.032730859669073194,1.920850466882891,1.0296063836588423,0.2875454024883364,1.0068114577424738,1.2679959068274127
0.04776769348590122,1.9666430804787085,1.042576881429661,0.2786752224757928,0.9931361842058178,1.2420038821258694
0.06100825590928825,2.0069653960826037,1.053636808720781,0.2697623431025642,0.9816238258756166,1.2168483106271348
0.0742488183326753,2.047287711686499,1.064322528468958,0.26015902821971487,0.970702747258325,1.191226030471969
0.0870211101176968,2.08618397333102,1.0742541263754053,0.2504536174092458,0.9607619348170527,1.1669327074989035
0.0996653375140138,2.1246902324564756,1.0837084424375425,0.24056238329556373,0.9514991401371765,1.1437553651797507
0.11236641109791594,2.1633696088441283,1.0928180369217937,0.23044527950187182,0.9427615256296243,1.121583451106659
0.12522705484127356,2.202534934251527,1.1016410020803058,0.22009122490664168,0.9344711936694388,1.1003686938264468
0.13831682379708934,2.2423980290462158,1.1102034495611068,0.2094957272121031,0.9265814141745301,1.0800725844728511
0.15168856305622927,2.2831198256994814,1.1185137661182472,0.19865503631710613,0.9190621117003481,1.0606569358488842
0.16538602231900887,2.3248335579190234,1.126568991750949,0.18756389187298572,0.9118934311971443,1.0420825164545855
0.17944800274895234,2.3676573893229262,1.1343580189139622,0.17621443770603498,0.9050624990460877,1.0243096469794237
0.1939109608353208,2.411702343145611,1.1418632770560024,0.16459552629271978,0.8985616618530393,1.0072991003030474
0.20881088679462237,2.457078022651825,1.1490615826749577,0.15269211840888525,0.8923875022320087,0.9910128549756477
0.2241848623382504,2.5038973551041814,1.1559244553964494,0.1404846402281078,0.886540316994846,0.9754146112701557
0.24007253072311652,2.5522810686005997,1.1624180275998888,0.1279482140738131,0.8810239134369838,0.960470090481965
0.2565176376011913,2.6023623845201005,1.1685025808982032,0.11505169381206211,0.8758456661602091,0.9461471704496006
0.2735697698057185,2.6542923127575753,1.1741316775481507,0.1017564343008373,0.8710168305698767,0.9324159187213061
0.2912864036694302,2.7082458895957786,1.1792507951092444,0.08801471836367548,0.8665531527575928,0.9192485914177785
0.30973534857166424,2.7644296191927014,1.1837953044836047,0.07376776986135229,0.862475862303993,0.9066196848820273
0.3289975875145571,2.8230901241664985,1.1876875477676705,0.05894333162156846,0.8588131939747643,0.8945061757229745
0.34917026969671044,2.884523259067862,1.1908326828222378,0.043452962685986564,0.8556026594799103,0.8828881892285914
0.37036901400447164,2.949081125346564,1.1931129324752363,0.027189660009621128,0.8528943580214288,0.8717505134703464
0.392727803580248,3.017171750273727,1.1943801162925567,0.010027109982479826,0.8507555574770052,0.861085444515423
0.41639770682010724,3.08925519191556,1.1944469985285848,-0.008180284243634196,0.8492762872394622,0.8508956248415318
0.4416057538306105,3.1660228393018954,1.1930725040454795,-0.027643765833723993,0.8485754978699411,0.8411741261401054
0.4751414226500417,3.268151115947934,1.188920631754384,-0.05369708984748219,0.8490337720382357,0.8298658315392794
0.5086485732578545,3.37019254429459,1.1821039997613565,-0.07994622824162784,0.8510893997979828,0.8202162392202259
0.5404579745793028,3.4670637102043456,1.1731439814997433,-0.10507496834012017,0.8545535286442,0.8123991526220434
0.5750563774184165,3.572428397447939,1.1606240104296164,-0.13260332540054284,0.8600613935917775,0.805188533926587
0.6037599795502094,3.6598412781940364,1.1480311436096873,-0.15552450262232712,0.8660792920860918,0.8000750594683725
0.6294608224984543,3.7381096679729184,1.1350560282611828,-0.17601480150834287,0.8726507141744857,0.7960377309696615
0.6551616654466992,3.8163780577518005,1.1204826751056332,-0.19633707548702575,0.8804130935258572,0.7923752911090025
0.679000447282801,3.8889757959800386,1.1055541632188168,-0.2148581689395718,0.8887525164875889,0.7891601949642673
0.7014441605425905,3.957325044331157,1.090286900763583,-0.23177740065481528,0.8976816373618316,0.7861134241063346
0.7228806799222238,4.022607021956808,1.074648459178004,-0.24717165126670243,0.907262771718852,0.7829641439042226
