Phase,tau,R,V,H,L
0.0,5.664361160522102,1.108609193288996,0.6385497224205453,0.976331712076016,1.4670158728023202
0.006259788519244997,5.689176723498149,1.1243204466663268,0.6275771517769558,0.9633902663761053,1.4660926481902983
0.012781794390204552,5.715031789835193,1.140391593494206,0.61549900220744,0.9498346705274211,1.4590119210092583
0.019730208266490384,5.742577257481664,1.1571621477404526,0.6020838220994005,0.9354989813200287,1.4463213993464532
0.027435566640104065,5.773123466093275,1.1753201006029292,0.5867311600239092,0.9199155369757764,1.4279815553818453
0.03720258126858935,5.811842660177229,1.1976533079883345,0.5668000284307686,0.9008640960725575,1.4009854592900701
0.044759295848587,5.841799602967776,1.2143990700881608,0.5511676240477017,0.8867765004829956,1.378803835911847
0.05231601042858465,5.871756545758323,1.2306750392574917,0.5354481472907797,0.8733136509573489,1.3564530351171187
0.059496038544782054,5.900220197419958,1.2457029892086355,0.5204924951294126,0.8611207187712981,1.3355904583107212
0.06644965002485731,5.927786269830274,1.2598515240105543,0.5060322557797033,0.8498713751086459,1.3160471714856539
0.07328223202113153,5.954872547313335,1.273366193167076,0.49187634055218027,0.8393467493741958,1.2976574525153926
0.08005004415293937,5.981702058829675,1.2863756960308572,0.47792780565084186,0.82942602058068,1.2803334287265569
0.08678855528619629,6.0084154129434815,1.298958220973059,0.46412805652369626,0.8200304730249859,1.2640083773503323
0.09352229695521566,6.03510985955909,1.3111649049304486,0.4504379421411032,0.8111038708319045,1.2486224945085678
0.10026935138240346,6.061857081693823,1.3230306228665043,0.43682934706731896,0.8026035253993834,1.234118733948553
0.10704371251112206,6.088712555276576,1.3345796932524359,0.4232808727438761,0.794495621155124,1.2204417419993516
0.1138566574061924,6.115720985765271,1.3458291902274724,0.4097753888982517,0.7867525266059125,1.207537794124393
0.12071760493923907,6.142919712217169,1.3567909995859075,0.39629853759392164,0.779351135527959,1.1953550165039601
0.12763468760939242,6.170340974147024,1.3674731602122665,0.38283776152883353,0.772271786597137,1.1838436362704268
0.1346151535239186,6.198013505091403,1.3778807724589768,0.36938163773944654,0.7654975286104388,1.1729561735596297
0.1416656636280213,6.225963710911251,1.3880166298325316,0.3559193967084158,0.7590136030726471,1.162647553907207
0.14879252265072662,6.254216585326358,1.397881665536883,0.3424405569453422,0.7528070697101961,1.1528751443375107
0.1560018677485469,6.282796457751919,1.4074752696464183,0.32893463203869455,0.7468665298679059,1.1435987249024981
0.16329983071891135,6.311727636358219,1.4167955120121696,0.3153908820774322,0.741181919533306,1.1347804088989077
0.17069268497516843,6.341034990720889,1.4258392933956119,0.301798089853696,0.7357443538037848,1.12638452378416
0.17818698587949475,6.370744508140048,1.4346024393409023,0.2881443469379996,0.7305460108499388,1.1183774625536573
0.18578971172349015,6.400883852527044,1.443079745912927,0.27441683707159925,0.7255800474884573,1.1107275128595462
0.19350841229660856,6.43148295337152,1.451264982569613,0.2606016049767433,0.7208405412361122,1.1034046686749261
0.2013513724024339,6.462574653965937,1.4591508543545035,0.24668329800567207,0.7163224557432321,1.0963804269398514
0.2093277989063318,6.494195452915095,1.4667289228356013,0.23264486599112116,0.7120216281272284,1.0896275692715345
0.2174480420892857,6.526386381645019,1.473989482379847,0.21846720095814537,0.7079347781932269,1.0831199263308064
0.2257238655261893,6.559194074276447,1.4809213849776148,0.20412869253748048,0.7040595410825584,1.0768321196148103
0.23416878413692782,6.59267210775443,1.4875118025225134,0.18960466573770401,0.700394526691835,1.0707392718126951
0.24279849845286422,6.626882723402871,1.49374590935948,0.17486665354996672,0.6969394116126665,1.064816671903944
0.25163146647124157,6.661899093916278,1.4996064589170126,0.15988143434936902,0.693695072762836,1.0590393738150012
0.26068967621274164,6.697808385995295,1.5050732143046046,0.14460972737532196,0.6906637770560742,1.0533816958656739
0.2699997186870525,6.734716013884104,1.5101221701396224,0.12900437791561944,0.6878494497470803,1.047816569134176
0.2795943252863611,6.772751734030806,1.5147244645675386,0.11300775557989673,0.6852580579771599,1.0423146496700746
0.2895146522796262,6.81207870146549,1.5188448121170082,0.09654788964681378,0.6828981706203002,1.0368430487315052
0.29981382780749605,6.852907531086086,1.5224391588374857,0.07953247496267689,0.6807818016111258,1.0313634168468166
0.3105627682482636,6.89551935536954,1.5254509983950235,0.06183905854756566,0.6789257368644589,1.0258288691258126
0.3218604115887141,6.94030639233316,1.527805202354647,0.04329780930985374,0.6773537499234746,1.0201786665187818
0.3338535078718731,6.987850400437835,1.5293967462562101,0.02365827766712721,0.6761006213189698,1.0143280756238024
0.346780341243073,7.039096005080493,1.5300673436564196,0.0025161612091283113,0.6752203747671129,1.0081462559148537
0.36108706726209966,7.095811892432712,1.5295466211926325,-0.020881060067273628,0.6748067716428068,1.0013980871672121
0.3778936563320567,7.162437940292931,1.5272387317066638,-0.04840988809467561,0.6750657536127559,0.9935142655546242
0.3954341907826279,7.23197355414849,1.5228706614889003,-0.07724932048998434,0.6761915266980801,0.9852342311358168
0.4129747252331991,7.301509168004048,1.516491512207087,-0.10626403001824773,0.6781959692173094,0.9767900000684635
0.4310584911330643,7.373198304170956,1.5077939562303155,-0.13643145216664126,0.6811964774262487,0.9677895692289312
0.44844636807392646,7.442128740705539,1.4973811513378865,-0.16575043417397736,0.6849977383760306,0.9587293545122527
0.46317756236581925,7.500527339721939,1.4869691761780912,-0.19088111471255623,0.6889432142218131,0.9506445835258704
0.4779087566577121,7.55892593873834,1.4750806863389114,-0.21632445497700795,0.6935779480360555,0.9420936022186788
0.4914992742089094,7.612802574208046,1.4627864743872803,-0.24011283472773118,0.6984889876257121,0.9337093259450232
0.5043064161776047,7.663573688454198,1.4500200909033998,-0.26283920899254826,0.7036983427495954,0.9252972771794628
0.5166024539306537,7.712318641782661,1.4366699393987241,-0.28496892008920716,0.7092537421231421,0.9166822498945384
0.5285409941756967,7.75964637440208,1.422668358081484,-0.3067710671715703,0.7151902104187163,0.9077413924004463
0.5402244274749521,7.805962791310217,1.4079594900859833,-0.3284311726544692,0.7215414328289244,0.8983691765111859
