tau,R,V,H,Uc,Lr,Lc,L
0.0,1.1,0.0,1.0,1.0,1.9487170999999999,0.4665073802097331,0.4665073802097331
0.001,1.0999997988945271,-0.0004021420520263376,1.0009737547046607,0.9999537178683239,1.9620364623754738,0.4664432925521637,0.4664432925521637
0.006,1.099992772635924,-0.002406628347359169,1.005844530352843,0.9997299506985421,2.0297606659477734,0.46615404401391775,0.46615404401391775
0.031,1.0998087549291022,-0.012270101420938396,1.0302323355298149,0.9988002447572745,2.397543222334868,0.4654773360176181,0.4654773360176181
0.07943484506690358,1.0987665629348657,-0.030583824947450607,1.0774529128381534,0.9978714978569433,3.2593135357197616,0.4677140070781814,0.4677140070781814
0.13108399468868998,1.096709258327072,-0.04885290665637635,1.1273411524869912,0.9980890862832736,4.415990127926772,0.4750899485969811,0.4750899485969811
0.18258094650180784,1.0937549566296851,-0.06563232588112843,1.1760894149795804,0.9994677983779348,5.828041396295243,0.4874680381241185,0.4874680381241185
0.23318383108122315,1.0900490011990482,-0.08057023863474977,1.222527330065164,1.001869534203041,7.463322117897397,0.5045048441883216,0.5045048441883216
0.2825352432511444,1.0857466852833328,-0.09350103967572022,1.2659525983184596,1.0051294173880925,9.268761272082747,0.5258209119596612,0.5258209119596612
0.3304147259492008,1.0810032973030186,-0.10434540536484485,1.3058922544996885,1.0090789253689811,11.17224761445061,0.551009718515812,0.551009718515812
0.3767034212910871,1.0759640194464617,-0.11309010084254273,1.34205998886096,1.0135589267104195,13.091449726852394,0.579648904971911,0.579648904971911
0.42136193160989815,1.0707577163731654,-0.11977278431674743,1.3743203732405291,1.0184271919491392,14.943570679063264,0.611308249936798,0.611308249936798
0.4644086787561047,1.0654944843182557,-0.12446830338939115,1.4026524001647436,1.0235613779915054,16.653627850642703,0.6455531787396263,0.6455531787396263
0.5059008076727771,1.0602657780465075,-0.12727752212076415,1.4271171605108899,1.0288589640164905,18.16019914915761,0.6819453700836668,0.6819453700836668
