tau,R,V,H,Uc,Lr,Lc,L
0.0,1.1,0.0,1.0,1.0,1.6891171380665109,0.7513148009015775,0.7513148009015775
0.001,1.0999999449552564,-0.00011008636266399966,1.0000261100484398,0.9997657778219176,1.6894254177917325,0.7507871134857785,0.7507871134857785
0.006,1.099998018956308,-0.0006602335503160577,1.0001574732382588,0.9986310579824321,1.690963203673044,0.7482375462781833,0.7482375462781833
0.028737251577399356,1.0999546172388819,-0.0031556497824743635,1.000770171072485,0.9941686935762979,1.6978592502062662,0.7383392362176262,0.7383392362176262
0.05140030853955993,1.0998550221141088,-0.005631552926966319,1.0014014492329786,0.9906891055065827,1.704521333590118,0.73081227745335,0.73081227745335
0.07509652607580816,1.0996910352766105,-0.008206785540838129,1.0020780723752025,0.9878767457177504,1.7111956924249436,0.7249302679206207,0.7249302679206207
0.09984861840407838,1.0994547743562533,-0.010880496690737262,1.002798092522717,0.9856552532799957,1.7177898281776416,0.7205149794449242,0.7205149794449242
0.12575701344128484,1.0991368313879486,-0.013659679235382902,1.003561839341791,0.9839467774085798,1.7242238871758047,0.7173969730238814,0.7173969730238814
0.15293212384780774,1.0987262783458622,-0.01655159070018311,1.0043699857247244,0.98268291874207,1.730407527942938,0.7154374769486873,0.7154374769486873
0.18150086679660105,1.0982103166727817,-0.01956424065977746,1.0052236605234421,0.981803782598554,1.7362380573758525,0.7145251920827609,0.7145251920827609
0.2116093831670128,1.0975738760130342,-0.02270639626169574,1.0061244388360724,0.981257581098531,1.7415966312025863,0.714574954733988,0.714574954733988
0.24342693114812602,1.096799103251664,-0.02598762055646847,1.0070743451784212,0.9810002319215694,1.7463436334415303,0.7155270721639475,0.7155270721639475
0.2771508366472445,1.0958647104997281,-0.029418293678142277,1.0080758564910193,0.980995004232089,1.7503128223861917,0.7173474547221209,0.7173474547221209
0.31301281959850386,1.0947451356432407,-0.033009597209942156,1.0091319001926693,0.981212224680895,1.7533038176896985,0.7200286519985286,0.7200286519985286
0.3512887659570062,1.0934093921479549,-0.036773587813185085,1.0102458864739792,0.9816290788365751,1.7550723960563517,0.7235921469900379,0.7235921469900379
0.3923057740942808,1.0918197520897837,-0.04072263500029912,1.0114215632633292,0.9822294538673717,1.7553174361279908,0.7280915966934823,0.7280915966934823
0.4364571109997626,1.0899298459771545,-0.04486911681825998,1.012662961251632,0.9830039124359146,1.753664370571223,0.7336182109372382,0.7336182109372382
0.4842181614720494,1.0876822866126958,-0.049224418023708125,1.0139741551932202,0.9839497770754765,1.7496432535260982,0.7403083149038218,0.7403083149038218
0.5361643839004167,1.0850057339758559,-0.0537969751171367,1.0153587750158517,0.9850712895824041,1.7426608256712652,0.7483536557773675,0.7483536557773675
0.5929857112284908,1.0818117149458018,-0.05858838315536293,1.0168189875343328,0.9863796780730555,1.7319676360656924,0.7580141416829341,0.7580141416829341
0.6554791297573891,1.0779926415207104,-0.06358555378368887,1.018353359357673,0.9878925708005617,1.7166287528662485,0.7696296124085156,0.7696296124085156
0.7244661806340287,1.0734258612493452,-0.068744992129985,1.0199523976830416,0.9896311208594594,1.695530555694587,0.783617036866412,0.783617036866412
0.800508009070128,1.0679967194214472,-0.07396357821419651,1.0215899040135903,0.9916108872967958,1.6675186459299798,0.8004129439423717,0.8004129439423717
0.8832511048816998,1.0616622753857508,-0.07903867669608197,1.0232104329569371,0.9938210058032895,1.631848507830025,0.820286112452959,0.820286112452959
0.9707011277627251,1.0545423711247983,-0.08366360701897839,1.0247261131318977,0.9961995312025806,1.58893749203682,0.8430375059593415,0.8430375059593415
