tau,R,V,P,Uc,Lr,Lc,L
0.0,1.1,0.0,1.0,1.0,1.9487170999999999,0.4665073802097331,0.4665073802097331
0.001,1.0999997989086636,-0.0004020996422559705,1.00117375452171,0.9999537655084969,1.9647822843826659,0.4664433591716145,0.4664433591716145
0.006,1.0999927756894399,-0.0024051015849646247,1.007044490936002,0.9997316598090236,2.0467718538662707,0.4661564244377342,0.4661564244377342
0.031,1.0998091761191124,-0.012229338145513689,1.0364269675367004,0.9988450742391282,2.500301058022997,0.4655385890629142,0.4655385890629142
0.0724168116203795,1.0989775140221123,-0.02777564779451236,1.0850423150725272,0.9981739525108686,3.4280596718937573,0.46742102792440937,0.46742102792440937
0.11694063878929375,1.0973885570254343,-0.043405997326335835,1.1368693113520092,0.9985088821061261,4.704319331070044,0.47333909809666186,0.47333909809666186
0.16247725851482786,1.0950715546377316,-0.0581386368884912,1.1889817901638058,0.9999133312333371,6.3434264450694915,0.48344502136473144,0.48344502136473144
0.20816709604879993,1.0921035646452233,-0.07154057257862152,1.2399291089181799,1.0023253135771129,8.348813558784187,0.49764024863995326,0.49764024863995326
0.25348962134138775,1.088587649576072,-0.08335481769971842,1.2887215740951032,1.0056319434209706,10.694426801025202,0.515715230988454,0.515715230988454
0.29809584669845607,1.0846389109716004,-0.09342698737638042,1.3346505518973557,1.0096975507230643,13.321994691855616,0.5373935681140645,0.5373935681140645
0.34175293886696073,1.0803740716307224,-0.10167772414910924,1.377226783836119,1.014380714051012,16.14571531378644,0.562353921770291,0.562353921770291
0.3843158960428545,1.0759040811007334,-0.10808608037195319,1.416141496504967,1.0195452951050483,19.061691054452393,0.5902433945052846,0.5902433945052846
0.4257071452894696,1.0713295300735002,-0.11267651273999608,1.4512319306954788,1.025066969290696,21.959341327326005,0.6206862303462088,0.6206862303462088
0.46589951171117394,1.0667384118319623,-0.1155080357752508,1.482449303331916,1.0308363193370556,24.73229901244719,0.6532894801872458,0.6532894801872458
0.5049018510601029,1.0622055896067353,-0.11666536846800096,1.5098305750058076,1.036759537228107,27.287112928383458,0.6876468498335745,0.6876468498335745
0.5427473540912765,1.0577933374982966,-0.11625197964712136,1.5334751353925637,1.0427576604900244,29.549011731029857,0.7233417769831568,0.7233417769831568
0.5795082217920091,1.0535497259815823,-0.11438311009905558,1.553538633438248,1.0487689929287851,31.465864907677275,0.7599748297310528,0.7599748297310528
